title,brand sponsor,description,date,venue,event_type,tags/_text,time,tags/_source,tags,pageUrl,level,theme
Maker Studios Presents: SUPERFIGHT BY NIGHT,Maker Studios,"Maker brings the card game of absurd arguments and hilarious battles from Skybound Entertainment to SXSW for a first-of-its-kind event featuring the creators of “The Walking Dead.” Music by DJs Amy Pham, A.G. Cook and Sophie. Don’t miss cocktails, giveaways and a SUPERFIGHT BY NIGHT.","Friday, March 13",Holy Mountain 617 E 7th St,,,9:00PM - 2:00AM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04180,,
MashBash,Mashable,"Join Mashable and a few hundred of our closest friends as we drink, dance and celebrate the most ""break the internet""-worthy moments of the year at SXSW's hottest party.","Sunday, March 15",Rattle Inn 610 Nueces St,Party Cocktails,Party; Cocktails,9:00PM - 2:00AM,/2015/tags/Party; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03847,,
McCombs Entrepreneurship Night - SXSW Edition,,"Come meet successful McCombs entrepreneurs from the Texas MBA and MSTC programs and network with Texas MBA and MSTC students and alumni, local entrepreneurs, and other SXSW attendees.","Saturday, March 14",219 West,Startup Village,SUV; Party,5:00PM - 7:00PM,/2015/tags/SUV; /2015/tags/Party,http://schedule.sxsw.com/2015/tags/SUV; http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03839,,SUV Party
Mix at Six Presented by Aurasma,Aurasma,"The ultimate networking mixer serves up food, drinks, business cards and lots of augmented reality fun with Aurasma!","Saturday, March 14","Lanai 422 Congress Ave, Ste C",Party Networking Cocktails,Party; Networking; Cocktails,6:00PM - 8:00PM,/2015/tags/Party; /2015/tags/Networking; /2015/tags/Cocktails,http://schedule.sxsw.com/2015/tags/Party; http://schedule.sxsw.com/2015/tags/Networking; http://schedule.sxsw.com/2015/tags/Cocktails,http://schedule.sxsw.com/2015/2015/events/event_OE03694,,
The Most Graphic Launch Party You'll Ever Attend,StockUnlimited,"Celebrate the launch of StockUnlimited with a graphic evening of drinks, food, music and fun. Have your portrait drawn by our on-site creative artists and mingle with creatives of all stripes, shapes and shades.","Monday, March 16",Hangar Lounge 318 Colorado St,,,8:00PM - 10:00PM,,,http://schedule.sxsw.com/2015/2015/events/event_OE03879,,
(mt) Open House,Media Temple,Enjoy BBQ & cold beers with Media Temple and our creative agency friends while listening to live music by Highly Suspect & Cathedrals. You also just might win VIP tickets to (mt)'s epic SXSWi Closing party at Stubb's.,"Monday, March 16",Rattle Inn 610 Nueces St,Party,Party,12:00PM - 6:00PM,/2015/tags/Party,http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03800,,
MVPindex HAPPY HOUR,,"Join us at the MVPindex Sports Lounge to engage with a platform that measures the real-time digital brand value of more than 25,000 athletes, teams and leagues and learn how top athletes and brands can utilize social media. Complimentary drinks and hors d'oeuvres.","Friday, March 13",Four Seasons Stone's Crossing 98 San Jacinto Blvd,SXsports Convergence,SXsports; Convergence,4:30PM - 6:30PM,/2015/tags/SXsports; /2015/tags/Convergence,http://schedule.sxsw.com/2015/tags/SXsports; http://schedule.sxsw.com/2015/tags/Convergence,http://schedule.sxsw.com/2015/2015/events/event_OE03915,,
MVPindex HAPPY HOUR,,"Join us at the MVPindex Sports Lounge to engage with a platform that measures the real-time digital brand value of more than 25,000 athletes, teams and leagues and learn how top athletes and brands can utilize social media. Complimentary drinks and hors d'oeuvres.","Saturday, March 14",Four Seasons Stone's Crossing 98 San Jacinto Blvd,SXsports Convergence,SXsports; Convergence,4:30PM - 6:30PM,/2015/tags/SXsports; /2015/tags/Convergence,http://schedule.sxsw.com/2015/tags/SXsports; http://schedule.sxsw.com/2015/tags/Convergence,http://schedule.sxsw.com/2015/2015/events/event_OE03917,,
NYLON presents the official closing party for SXstyle,,Join NYLON at the Palm Door on Sabine for the final event of SXstyle. Evening will include live performances and DJ sets from some of NYLON's favorite artists of 2015.,"Tuesday, March 17",Palm Door on Sabine 401 Sabine St,,,8:00PM - 12:00AM,,,http://schedule.sxsw.com/2015/2015/events/event_OE04012,,
Pi Day of the Century with Wolfram,Wolfram,"Celebrate ""Super Pi Moment"" - it happens only once every century - this year, on 3/14/15 at 9:26:53am. Join Wolfram for the countdown, FREE Pi(e), contests, and a special ""selfie station"" to capture the moment.","Saturday, March 14","East Tent, Brush Square Park Neches and 5th St",Party,Party,9:00AM - 11:00AM,/2015/tags/Party,http://schedule.sxsw.com/2015/tags/Party,http://schedule.sxsw.com/2015/2015/events/event_OE03834,,
