"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 CC136)","2016-Feb-09 10:04 ±","2.07/0.00532","2.07/0.00532","6.48","6.41","6.44e+03","28.8","4","ATE*"
"(2016 HO)","2016-Apr-24 12:29 ±","2.10/0.00540","2.10/0.00540","4.78","4.67","1.61e+04","25.7","8","APO*"
"(2015 VL64)","2015-Nov-03 14:48 ±","2.12/0.00545","2.12/0.00544","8.58","8.52","726","28.3","4","ATE*"
"(2016 GH1)","2016-Apr-05 07:16 ±","2.15/0.00551","2.14/0.00551","5.40","5.31","4.03e+03","27.5","3","APO*"
"(2016 CU246)","2016-Feb-12 08:08 ±","2.15/0.00553","2.15/0.00552","15.81","15.77","1.27e+03","26.5","7","ATE*"
"(2016 KO)","2016-May-25 19:04 ±","2.19/0.00562","2.18/0.00561","7.32","7.25","895","26.5","7","ATE*"
"(2016 HD3)","2016-May-02 06:09 ±","2.19/0.00564","2.19/0.00564","6.89","6.82","2.05e+05","28.0","15","ATE*"
"(2016 AM2)","2015-Dec-27 19:39 ±   00:07","2.21/0.00567","2.20/0.00564","11.99","11.95","375","26.9","2","APO*"
"(2015 XT378)","2015-Dec-10 11:59 ±","2.25/0.00578","2.23/0.00574","7.56","7.50","241","27.9","2","ATE*"
"(2016 RO17)","2016-Sep-08 03:37 ±","2.29/0.00590","2.29/0.00589","16.01","15.98","1.79e+03","26.4","1","APO*"
"(2016 EM157)","2016-Mar-10 10:17 ±","2.30/0.00592","2.30/0.00590","8.72","8.67","551","26.9","4","ATE*"
"(2015 TN21)","2015-Oct-10 22:17 ±","2.32/0.00597","2.32/0.00596","13.06","13.02","2.16e+03","27.2","5","APO*"
"(2016 CH137)","2016-Feb-07 20:39 ±","2.35/0.00604","2.35/0.00603","26.38","26.36","1.8e+03","25.8","6","APO*"
"(2016 FF14)","2016-Mar-28 21:56 ±","2.36/0.00607","2.36/0.00607","9.86","9.82","1.43e+03","27.1","5","APO*"
"(2016 CA29)","2016-Feb-07 05:22 ±","2.39/0.00613","2.38/0.00612","6.88","6.82","2.11e+03","28.7","7","APO*"
"(2015 XX128)","2015-Dec-14 00:13 ±","2.40/0.00616","2.40/0.00616","3.69","3.57","3.88e+04","26.0","9","APO*"
"(2016 RO20)","2016-Sep-11 12:48 ±","2.45/0.00630","2.45/0.00629","15.65","15.62","1.42e+03","27.2","1","APO*"
"(2015 XN55)","2015-Dec-15 05:33 ±","2.46/0.00632","2.46/0.00632","6.22","6.15","4.32e+03","27.2","20","APO*"
"(2015 VY)","2015-Nov-06 10:39 ±","2.49/0.00641","2.49/0.00640","9.81","9.77","3.51e+03","26.2","6","APO*"
"(2016 DE1)","2016-Feb-25 04:19 ±","2.51/0.00645","2.51/0.00644","19.56","19.54","2.15e+03","25.3","5","APO*"
"(2016 CJ31)","2016-Jan-29 17:32 ±","2.51/0.00645","2.49/0.00640","13.28","13.25","290","27.6","2","APO*"
"(2016 RN20)","2016-Sep-08 16:57 ±   00:02","2.52/0.00647","2.51/0.00645","3.23","3.10","605","28.2","1","APO*"
"(2016 JA6)","2016-May-02 03:45 ±","2.52/0.00648","2.52/0.00648","11.23","11.19","2.98e+03","26.4","15","APO*"
"(2015 VP105)","2015-Nov-11 05:25 ±","2.54/0.00653","2.54/0.00652","18.02","18.00","2.74e+03","25.6","3","APO*"
"(2016 CD30)","2016-Feb-01 06:48 ±","2.56/0.00658","2.55/0.00655","10.70","10.66","397","27.8","7","APO*"
"(2016 RD34)","2016-Sep-07 14:31 ±   00:06","2.56/0.00659","2.56/0.00658","1.44","1.12","1.74e+03","27.2","5","APO*"
"(2016 MA)","2016-Jun-19 04:34 ±","2.60/0.00668","2.60/0.00667","8.87","8.83","1.32e+03","27.5","2","APO*"
"(2015 XN261)","2015-Dec-23 12:37 ±","2.64/0.00678","2.64/0.00678","4.95","4.87","3.6e+03","26.2","17","ATE*"
"(2016 FZ12)","2016-Mar-18 18:52 ±   00:06","2.65/0.00680","2.63/0.00676","8.22","8.18","336","26.7","3","APO*"
"(2016 GU)","2016-Apr-11 09:46 ±","2.69/0.00691","2.69/0.00691","10.34","10.30","4.06e+03","25.7","11","APO*"
"(2016 FC)","2016-Mar-12 20:59 ±","2.81/0.00723","2.81/0.00722","5.70","5.64","7.56e+03","26.6","19","APO*"
"(2016 BA15)","2016-Feb-01 07:58 ±","2.87/0.00738","2.87/0.00737","15.85","15.83","1.74e+03","26.8","4","APO*"
"(2016 JY5)","2016-Apr-30 04:29 ±","2.88/0.00740","2.87/0.00738","6.42","6.37","1.16e+03","27.1","6","APO*"
"(2016 JA)","2016-Apr-24 22:35 ±","2.89/0.00741","2.88/0.00740","7.41","7.36","1.08e+03","27.5","13","APO*"
"(2016 AF2)","2015-Dec-26 05:41 ±","2.91/0.00747","2.90/0.00745","5.93","5.87","591","27.9","6","ATE*"
"(2016 HX23)","2016-Apr-25 08:23 ±   00:18","2.93/0.00753","2.87/0.00738","13.87","13.85","107","27.0","3","APO*"
"(2016 LG)","2016-Jun-06 12:05 ±","2.94/0.00756","2.94/0.00756","6.13","6.08","1.17e+06","25.3","28","APO*"
"(2015 XH55)","2015-Nov-29 02:37 ±","2.95/0.00758","2.94/0.00756","7.11","7.07","619","29.3","2","APO*"
"(2016 CB248)","2016-Feb-13 13:42 ±","3.03/0.00780","3.03/0.00779","11.26","11.23","1.42e+03","26.7","9","APO*"
"(2016 JZ5)","2016-May-02 07:47 ±","3.04/0.00781","3.04/0.00780","7.82","7.78","1.69e+03","27.0","4","APO*"
"(2015 VR64)","2015-Nov-12 20:12 ±","3.04/0.00781","3.04/0.00781","7.45","7.41","3.34e+03","27.4","9","APO*"
"(2016 GK2)","2016-Mar-27 01:34 ±","3.07/0.00788","3.06/0.00786","9.38","9.35","727","27.8","7","APO*"
"(2016 ES85)","2016-Mar-16 08:16 ±","3.07/0.00789","3.07/0.00788","3.23","3.12","1.57e+03","29.7","6","ATE*"
"(2016 SC)","2016-Sep-25 10:57 ±","3.09/0.00793","3.08/0.00792","5.35","5.29","1.38e+03","27.8","2","APO*"
"(2016 ET1)","2016-Feb-29 00:51 ±","3.11/0.00799","3.10/0.00797","5.50","5.44","731","28.9","3","APO*"
"(2016 GX220)","2016-Apr-12 07:19 ±","3.15/0.00808","3.14/0.00808","4.42","4.34","2.88e+03","28.7","3","APO*"
"(2016 AB166)","2016-Jan-12 00:30 ±","3.21/0.00826","3.21/0.00826","21.73","21.72","8.77e+03","24.4","9","APO*"
"(2016 LK49)","2016-Jun-16 16:17 ±","3.22/0.00828","3.21/0.00826","19.98","19.97","1.19e+03","26.0","5","APO*"
"(2016 NC56)","2016-Jul-06 06:50 ±   00:01","3.29/0.00845","3.28/0.00842","14.64","14.62","660","27.1","1","APO*"
"(2016 BY)","2016-Jan-21 14:49 ±","3.33/0.00855","3.32/0.00853","17.32","17.30","1.38e+03","26.1","5","APO*"
"(2015 XC)","2015-Dec-08 10:20 ±","3.34/0.00859","3.34/0.00859","8.16","8.12","8.81e+05","25.2","16","APO*"
"(2016 GS2)","2016-May-18 02:03 ±","3.40/0.00875","3.40/0.00874","8.01","7.98","6.48e+05","23.0","43","APO*"
"(2015 VC1)","2015-Oct-22 21:26 ±   00:01","3.41/0.00876","3.40/0.00874","4.30","4.23","540","27.2","7","APO*"
