Object,Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM,CA DistanceNominal(LD/AU),CA DistanceMinimum(LD/AU),Vrelative(km/s),Vinfinity(km/s),Nsigma,H(mag),ref,class
(2014 SE145),2014-Sep-22 14:12 ±,3.8/0.0099,3.8/0.0099,8.81,8.78,1.81e+03,27.2,4,APO*
(2014 YB9),2014-Dec-15 07:41 ±   00:04,3.9/0.0099,3.8/0.0098,6.40,6.36,175,27.5,2,APO*
(2014 SZ144),2014-Sep-29 21:09 ±,3.9/0.0100,3.9/0.0100,13.15,13.13,1.07e+03,25.3,9,APO*
(2014 GG49),2014-Apr-19 11:44 ±,3.9/0.0101,3.9/0.0100,11.42,11.39,579,25.7,14,APO*
(2014 UD176),2014-Oct-22 02:41 ±,3.9/0.0101,3.9/0.0101,13.93,13.92,6.2e+03,24.8,10,APO*
(2014 GB49),2014-Apr-05 16:24 ±,3.9/0.0101,3.9/0.0101,13.06,13.04,1.22e+03,25.8,3,APO*
(2015 BA513),2015-Jan-18 21:32 ±   00:10,3.9/0.0101,3.8/0.0099,21.51,21.50,203,25.8,2,APO*
(2014 WO4),2014-Nov-20 21:36 ±,3.9/0.0101,3.9/0.0101,19.99,19.98,823,24.4,5,APO*
(2014 HH4),2014-Apr-17 07:44 ±   00:01,4.0/0.0104,4.0/0.0103,21.63,21.62,350,24.1,6,APO*
(2014 XC8),2014-Dec-11 17:48 ±,4.1/0.0106,4.1/0.0106,12.22,12.20,570,26.3,8,APO*
(2014 MA68),2014-Jun-13 07:55 ± 1_10:50,4.1/0.0106,3.8/0.0098,5.89,5.85,31.1,25.9,2,APO*
(2015 FF),2015-Mar-20 20:28 ±,4.2/0.0107,4.1/0.0106,9.78,9.75,1.06e+03,26.7,3,APO*
(2014 UD57),2014-Oct-23 02:51 ±,4.2/0.0107,4.2/0.0107,9.05,9.02,2.57e+03,25.8,12,APO*
(2014 YC42),2014-Dec-30 07:42 ±,4.2/0.0107,4.2/0.0107,18.86,18.85,1.55e+03,24.8,2,APO*
(2014 WC366),2014-Dec-09 14:33 ±   00:14,4.2/0.0108,4.2/0.0107,14.76,14.74,332,25.5,3,APO*
